architecture,scope,metric,reversed,shipped_mean,shipped_sd,shipped_min,shipped_max,delta,delta_in_sd,within_shipped_range,n_shipped_runs,model
Direct_LLM_Scoring,Overall,kendall_tau,0.1009,0.144,0.0407,0.0997,0.209,-0.0431,-1.06,True,5,deepseek
Direct_LLM_Scoring,Overall,top1_accuracy,0.3231,0.3668,0.0309,0.3385,0.4197,-0.0437,-1.42,False,5,deepseek
Direct_LLM_Scoring,Overall,top2_accuracy,0.7026,0.7221,0.0178,0.7083,0.7513,-0.0195,-1.1,False,5,deepseek
Direct_LLM_Scoring,Overall,spearman_rho,0.0974,0.1452,0.045,0.1082,0.2228,-0.0478,-1.06,False,5,deepseek
Direct_LLM_Scoring,HVAC,kendall_tau,-0.1143,-0.1021,0.0713,-0.2,-0.0286,-0.0122,-0.17,True,5,deepseek
Direct_LLM_Scoring,HVAC,top1_accuracy,0.2714,0.1979,0.0507,0.1429,0.2464,0.0735,1.45,False,5,deepseek
Direct_LLM_Scoring,HVAC,top2_accuracy,0.5857,0.639,0.0176,0.6143,0.6571,-0.0533,-3.03,False,5,deepseek
Direct_LLM_Scoring,HVAC,spearman_rho,-0.1429,-0.103,0.0761,-0.1929,-0.0357,-0.0399,-0.52,True,5,deepseek
Direct_LLM_Scoring,Appliance,kendall_tau,-0.0564,0.0293,0.0605,-0.0208,0.1111,-0.0857,-1.42,False,5,deepseek
Direct_LLM_Scoring,Appliance,top1_accuracy,0.2,0.3171,0.0391,0.2812,0.381,-0.1171,-2.99,False,5,deepseek
Direct_LLM_Scoring,Appliance,top2_accuracy,0.6462,0.6308,0.0476,0.5692,0.6984,0.0154,0.32,True,5,deepseek
Direct_LLM_Scoring,Appliance,spearman_rho,-0.0692,0.0052,0.0714,-0.0538,0.1111,-0.0744,-1.04,False,5,deepseek
Direct_LLM_Scoring,Shower,kendall_tau,0.5222,0.5576,0.0498,0.5141,0.6333,-0.0354,-0.71,True,5,deepseek
Direct_LLM_Scoring,Shower,top1_accuracy,0.5167,0.6194,0.0643,0.5593,0.6949,-0.1027,-1.6,False,5,deepseek
Direct_LLM_Scoring,Shower,top2_accuracy,0.9,0.9192,0.0222,0.8814,0.9333,-0.0192,-0.86,True,5,deepseek
Direct_LLM_Scoring,Shower,spearman_rho,0.5583,0.5891,0.0532,0.5339,0.6667,-0.0308,-0.58,True,5,deepseek
