architecture,scope,metric,reversed,shipped_mean,shipped_sd,shipped_min,shipped_max,delta,delta_in_sd,within_shipped_range,n_shipped_runs,model
Direct_LLM_Scoring,Overall,kendall_tau,0.0674,0.0407,0.0452,0.0017,0.1077,0.0267,0.59,True,5,gptoss
Direct_LLM_Scoring,Overall,top1_accuracy,0.3523,0.3333,0.0241,0.3077,0.359,0.019,0.79,True,5,gptoss
Direct_LLM_Scoring,Overall,top2_accuracy,0.6736,0.6646,0.0263,0.6359,0.7026,0.009,0.34,True,5,gptoss
Direct_LLM_Scoring,Overall,spearman_rho,0.0725,0.0385,0.048,-0.0103,0.1077,0.034,0.71,True,5,gptoss
Direct_LLM_Scoring,HVAC,kendall_tau,0.2059,0.1352,0.051,0.0667,0.181,0.0707,1.38,False,5,gptoss
Direct_LLM_Scoring,HVAC,top1_accuracy,0.4559,0.3971,0.0499,0.3286,0.4571,0.0588,1.18,True,5,gptoss
Direct_LLM_Scoring,HVAC,top2_accuracy,0.8382,0.7571,0.0286,0.7286,0.7857,0.0811,2.84,False,5,gptoss
Direct_LLM_Scoring,HVAC,spearman_rho,0.2353,0.1429,0.0596,0.0714,0.1929,0.0924,1.55,False,5,gptoss
Direct_LLM_Scoring,Appliance,kendall_tau,-0.0564,-0.1467,0.0737,-0.241,-0.0564,0.0903,1.22,True,5,gptoss
Direct_LLM_Scoring,Appliance,top1_accuracy,0.3231,0.2677,0.054,0.2,0.3385,0.0554,1.03,True,5,gptoss
Direct_LLM_Scoring,Appliance,top2_accuracy,0.5538,0.5569,0.0467,0.4923,0.6,-0.0031,-0.07,True,5,gptoss
Direct_LLM_Scoring,Appliance,spearman_rho,-0.0769,-0.1662,0.0772,-0.2692,-0.0846,0.0893,1.16,False,5,gptoss
Direct_LLM_Scoring,Shower,kendall_tau,0.0444,0.1333,0.0515,0.0778,0.2111,-0.0889,-1.73,False,5,gptoss
Direct_LLM_Scoring,Shower,top1_accuracy,0.2667,0.33,0.0298,0.3,0.3667,-0.0633,-2.12,False,5,gptoss
Direct_LLM_Scoring,Shower,top2_accuracy,0.6167,0.6733,0.0418,0.6167,0.7333,-0.0566,-1.35,True,5,gptoss
Direct_LLM_Scoring,Shower,spearman_rho,0.05,0.1383,0.0495,0.1,0.2167,-0.0883,-1.78,False,5,gptoss
