architecture,scope,metric,reversed,shipped_mean,shipped_sd,shipped_min,shipped_max,delta,delta_in_sd,within_shipped_range,n_shipped_runs,model
Direct_LLM_Scoring,Overall,kendall_tau,-0.0316,0.01,0.0385,-0.0564,0.0412,-0.0416,-1.08,True,5,qwen
Direct_LLM_Scoring,Overall,top1_accuracy,0.3158,0.3001,0.0296,0.2615,0.3282,0.0157,0.53,True,5,qwen
Direct_LLM_Scoring,Overall,top2_accuracy,0.6632,0.6773,0.025,0.6462,0.701,-0.0141,-0.56,True,5,qwen
Direct_LLM_Scoring,Overall,spearman_rho,-0.0211,0.0078,0.0437,-0.0692,0.0361,-0.0289,-0.66,True,5,qwen
Direct_LLM_Scoring,HVAC,kendall_tau,0.1212,-0.0027,0.0491,-0.0571,0.0476,0.1239,2.52,False,5,qwen
Direct_LLM_Scoring,HVAC,top1_accuracy,0.4848,0.3266,0.0436,0.2899,0.4,0.1582,3.63,False,5,qwen
Direct_LLM_Scoring,HVAC,top2_accuracy,0.7273,0.6734,0.026,0.6429,0.7101,0.0539,2.07,False,5,qwen
Direct_LLM_Scoring,HVAC,spearman_rho,0.1364,-0.0128,0.0534,-0.0786,0.05,0.1492,2.79,False,5,qwen
Direct_LLM_Scoring,Appliance,kendall_tau,-0.1458,-0.0309,0.0328,-0.0769,0.0051,-0.1149,-3.5,False,5,qwen
Direct_LLM_Scoring,Appliance,top1_accuracy,0.1719,0.2315,0.0288,0.2,0.2769,-0.0596,-2.07,False,5,qwen
Direct_LLM_Scoring,Appliance,top2_accuracy,0.5938,0.6759,0.0487,0.6154,0.7385,-0.0821,-1.69,False,5,qwen
Direct_LLM_Scoring,Appliance,spearman_rho,-0.1562,-0.037,0.0466,-0.1,0.0231,-0.1192,-2.56,False,5,qwen
Direct_LLM_Scoring,Shower,kendall_tau,-0.0778,0.0689,0.0918,-0.0667,0.1778,-0.1467,-1.6,False,5,qwen
Direct_LLM_Scoring,Shower,top1_accuracy,0.2833,0.3433,0.0787,0.25,0.4167,-0.06,-0.76,True,5,qwen
Direct_LLM_Scoring,Shower,top2_accuracy,0.6667,0.6833,0.0656,0.6,0.7833,-0.0166,-0.25,True,5,qwen
Direct_LLM_Scoring,Shower,spearman_rho,-0.05,0.08,0.0969,-0.0667,0.2,-0.13,-1.34,True,5,qwen
Example-Guided_LLM_Scoring,Overall,kendall_tau,-0.0154,0.2068,0.0298,0.1624,0.241,-0.2222,-7.46,False,5,qwen
Example-Guided_LLM_Scoring,Overall,top1_accuracy,0.3179,0.4698,0.0273,0.441,0.5077,-0.1519,-5.57,False,5,qwen
Example-Guided_LLM_Scoring,Overall,top2_accuracy,0.6564,0.7682,0.0282,0.7282,0.8051,-0.1118,-3.97,False,5,qwen
Example-Guided_LLM_Scoring,Overall,spearman_rho,-0.0154,0.222,0.0358,0.1769,0.2692,-0.2374,-6.64,False,5,qwen
Example-Guided_LLM_Scoring,HVAC,kendall_tau,-0.0762,0.16,0.0156,0.1429,0.181,-0.2362,-15.1,False,5,qwen
Example-Guided_LLM_Scoring,HVAC,top1_accuracy,0.2714,0.4114,0.0456,0.3571,0.4714,-0.14,-3.07,False,5,qwen
Example-Guided_LLM_Scoring,HVAC,top2_accuracy,0.6286,0.7715,0.0484,0.7286,0.8429,-0.1429,-2.95,False,5,qwen
Example-Guided_LLM_Scoring,HVAC,spearman_rho,-0.0857,0.1829,0.0288,0.1429,0.2143,-0.2686,-9.32,False,5,qwen
Example-Guided_LLM_Scoring,Appliance,kendall_tau,0.0974,0.2308,0.0589,0.159,0.3128,-0.1334,-2.26,False,5,qwen
Example-Guided_LLM_Scoring,Appliance,top1_accuracy,0.4308,0.52,0.0333,0.4769,0.5692,-0.0892,-2.67,False,5,qwen
Example-Guided_LLM_Scoring,Appliance,top2_accuracy,0.7231,0.8092,0.0319,0.7846,0.8615,-0.0861,-2.7,False,5,qwen
Example-Guided_LLM_Scoring,Appliance,spearman_rho,0.1077,0.2415,0.0763,0.1538,0.3385,-0.1338,-1.75,False,5,qwen
Example-Guided_LLM_Scoring,Shower,kendall_tau,-0.0667,0.2355,0.1104,0.1,0.3333,-0.3022,-2.74,False,5,qwen
Example-Guided_LLM_Scoring,Shower,top1_accuracy,0.25,0.4833,0.0697,0.4,0.55,-0.2333,-3.35,False,5,qwen
Example-Guided_LLM_Scoring,Shower,top2_accuracy,0.6167,0.72,0.0545,0.6667,0.7833,-0.1033,-1.9,False,5,qwen
Example-Guided_LLM_Scoring,Shower,spearman_rho,-0.0667,0.2467,0.1124,0.125,0.3417,-0.3134,-2.79,False,5,qwen
